id,name,artists,album,duration_ms,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,rating,playlist_type
0YMFcrMtBowDdD5bPz0cgy,Talkin' Bout a Revolution,Tracy Chapman,Tracy Chapman,161600,67,0.329,0.561,0.732,0.000228,7,0.0755,-6.178,1,0.0281,118.975,4,0.671,4,party
4CCdqoP8yvkMOVkzIZ7SfB,Electronic Waterfall,Bits & Noise,Monotany,131680,41,0.909,0.154,0.651,0.973,1,0.96,-36.974,1,0.054,107.697,4,1e-05,3,focus
320IjSMchugARu2uu1ZejI,Trapped In Time,Uygar Duzgun,Fast Life,207562,2,0.119,0.66,0.519,0.856,11,0.12,-12.615,0,0.0304,113.023,4,0.259,1,focus
3ihskScPmfLPIfU5qWdJM8,Patagonia,Jelani Aryeh,Patagonia,192080,50,0.463,0.768,0.507,3.76e-06,1,0.179,-8.357,1,0.0372,119.988,4,0.378,3,sleep
0BjEQJZy4rfUNpKHiaYirL,Runway,Stunna Girl,YKWTFGO,152463,74,0.0155,0.638,0.912,0.0,1,0.234,-3.3,1,0.474,190.178,4,0.725,4,sleep
4FoGnUdmnEsTxrsvRofMZr,Old Habit,Jutila,Old Habit,123750,65,0.993,0.326,0.0561,0.857,6,0.0866,-27.59,1,0.0425,86.913,4,0.454,4,focus
4b7J4LKzkONt18o9Gng2TN,Forgotten By Time,Vincent Pino,Forgotten By Time,137728,61,0.989,0.347,0.0233,0.897,7,0.106,-28.13,0,0.0419,115.39,3,0.095,4,focus
7LMhHrfftRJVsmNpMnZew3,Amnesia (with Ari Lennox & Kiddominant),Bas,Spilled Milk 1,215551,62,0.0796,0.751,0.576,9.73e-05,0,0.153,-9.022,1,0.24,119.997,4,0.636,4,sleep
5Wj1rJnCLpMHdLaxsFtJLs,Bennie And The Jets - Remastered 2014,Elton John,Goodbye Yellow Brick Road (Remastered),322548,68,0.238,0.668,0.678,6.29e-06,0,0.527,-8.015,1,0.0496,132.584,4,0.778,4,sleep
4RInQKgHfqQBhKomdMIfsP,Scarlet Macaw,Hayden Cargile,Scarlet Macaw,142874,68,0.993,0.278,0.0794,0.944,4,0.101,-27.825,1,0.0474,129.69,3,0.454,4,focus
2JWTVS3ndZcwJrabnCAWvD,Hotel,Dylan Sitts,Glazed,159560,59,0.0839,0.639,0.359,0.769,8,0.116,-8.64,1,0.0662,91.094,4,0.149,3,focus
1V028kR7hQgxkibAYOMntP,Kind of Love,Rat City,Kind of Love (feat. Isak Heim),202423,57,0.0665,0.679,0.825,0.0,0,0.128,-3.759,0,0.044,119.946,4,0.466,3,sleep
4ZC8hXXqu2hPcDLw9QTdtQ,Smile,Uncle Kracker,Happy Hour,201626,67,0.203,0.541,0.812,0.0,4,0.42,-3.764,1,0.0336,141.056,4,0.607,4,sleep
4s07g5Al7Hb26QBTKFG5zZ,Train Rides,Pierce Fulton,Hoarder's Paradise,192882,25,0.0235,0.5,0.626,0.943,5,0.202,-9.39,0,0.0353,139.6,4,0.298,2,focus
60CFGgbdZ315nIOuK5nYmM,Water Ripples,Enno Aare,Enno Aare,187477,64,0.958,0.433,0.187,0.93,8,0.121,-14.389,0,0.0343,138.509,3,0.35,4,focus
4lDYedHtcFwkMTVwpdSRUN,No Option (feat. Burna Boy),DJ Snake,Carte Blanche,185600,62,0.00837,0.631,0.877,1.09e-05,5,0.204,-4.072,0,0.0345,150.162,4,0.876,4,workout
4NGbpyKrKMlJX4kP8iTQFJ,No Te Hagas la Loca,Noriel,No Te Hagas la Loca,240000,72,0.0379,0.775,0.666,0.000806,2,0.083,-5.557,1,0.0878,91.001,4,0.659,4,workout
5YN0zHycJ0Yxz31A5QsVov,These Are The Times (feat. JRM),Martin Garrix,These Are The Times (feat. JRM),188656,75,0.0536,0.687,0.707,9.29e-05,4,0.16,-6.19,1,0.0328,127.033,4,0.607,4,workout
4kNvYhyl8R6m1vykVkcuBu,All Me,Drake,Nothing Was The Same (Deluxe),270866,42,0.0705,0.67,0.515,0.0,1,0.25,-6.977,1,0.397,122.006,4,0.422,3,workout
3BrTmpC7UfxHs6lXZRcLWH,Too Fast,Ooyy,Changli,170659,48,0.107,0.627,0.646,0.546,3,0.0702,-8.707,0,0.0427,152.011,4,0.511,3,focus
6db0KOPsRmOinTttFmKXdl,Changes - LA Riots Remix,Disco Killerz,Changes (Remixes),217080,52,0.000821,0.595,0.937,0.69,7,0.0662,-5.618,0,0.0497,124.969,4,0.394,3,sleep
23L5CiUhw2jV1OIMwthR3S,In the Name of Love,Martin Garrix,In the Name of Love,195706,81,0.109,0.501,0.519,0.0,4,0.454,-5.88,0,0.0409,133.99,4,0.168,5,party
0GDlfD2tm6pejevucQT8IN,Nothing changes: everything is different,H.1,Nothing changes: everything is different,169795,21,0.922,0.573,0.177,0.6,3,0.108,-18.774,0,0.347,130.187,1,0.312,2,focus
5RKZ9zCtLjBLTea7qkSFqr,I'm a Believer,The Monkees,The Definitive Monkees,166906,45,0.534,0.519,0.772,1.21e-05,0,0.271,-6.784,1,0.0331,79.618,4,0.961,3,sleep
6xHlnkbGTtQaPvFJVIweaD,Walking in the Rain to a Café to Write Down Private Thoughts in Public,City Girl,Loveless Shadows,188571,60,0.678,0.659,0.144,0.475,4,0.573,-16.066,0,0.0442,83.998,4,0.147,3,focus
65kOCXGJwm6ngo72eXU3vp,Sayin',Avixn,[Lofi.Bumps],69591,56,0.696,0.851,0.454,0.768,11,0.117,-13.229,1,0.226,84.955,4,0.928,3,focus
3TB9KL7iUVd7N5ihzghGw4,Gymnopedie,Richard Mollenbeck,Classical Guitar for Study,217877,57,0.978,0.457,0.0846,0.615,9,0.111,-21.345,1,0.113,63.995,3,0.0557,3,focus
0NeJjNlprGfZpeX2LQuN6c,River,Leon Bridges,Coming Home,238560,74,0.689,0.658,0.179,0.0,8,0.17,-10.866,1,0.0448,128.128,4,0.191,4,sleep
08KyjbAXbJl0EdtTi7GH3x,Run Run Run,Celeste Buckingham,Where I Belong,222413,53,0.107,0.673,0.688,0.0,3,0.031,-5.752,0,0.175,162.045,4,0.702,3,workout
6Fvcfc6yiU97h2ir2B9cR5,The Deep End - Supermini Remix,Tall Heights,The Deep End (Supermini Remix),245000,61,0.000804,0.624,0.876,0.0434,6,0.415,-6.948,1,0.0369,121.986,4,0.273,4,party
4HYNtH7n3TrbbtRa94sA0K,Talk,Why Don't We,Talk,190346,6,0.0588,0.795,0.7,0.0,6,0.0977,-5.221,0,0.107,120.002,4,0.798,1,workout
5rqt6cZ88VtFHq0bJBMHGl,Brooklyn,Patrick Droney,Patrick Droney,227292,2,0.612,0.63,0.589,0.00944,11,0.629,-9.027,1,0.0322,100.01,4,0.529,1,sleep
4m6ObZmZ7wnyrKtmLvlyVE,Feel It Still - Medasin Remix,Portugal. The Man,Feel It Still (Medasin Remix),194434,63,0.553,0.568,0.463,0.00114,4,0.0858,-10.622,1,0.262,157.686,4,0.148,4,party
0Ev562zA4pmUsBqjxsxxdx,Feel Good (feat. Daya),Gryffin,Feel Good (feat. Daya),248156,74,0.22,0.625,0.707,0.0,2,0.213,-4.761,1,0.0337,138.064,4,0.479,4,party
1sIzgIeM2kbssXgOpIAvl8,Earthquake (feat. Bok Nero),QUIX,Illusions EP,248000,47,0.00541,0.49,0.931,0.0131,8,0.124,-3.31,0,0.128,149.869,4,0.201,3,workout
3dmO7iT9TDtXRbPwR9eNpr,Time Reminder,DLJ,Time Reminder,120000,58,0.353,0.623,0.455,0.72,10,0.0942,-10.0,0,0.0565,160.115,4,0.467,3,focus
69sPwFCc8ztlWFMQJnuS3n,Scintilla,Mino Monterosso,Scintilla,154230,56,0.991,0.227,0.0489,0.896,1,0.12,-24.468,1,0.0422,73.04,5,0.376,3,focus
6YZdkObH88npeKrrkb8Ggf,DUELE EL CORAZON,Enrique Iglesias,DUELE EL CORAZON,200813,72,0.0786,0.724,0.904,0.0,8,0.226,-3.354,0,0.0966,90.999,4,0.846,4,party
6J7WMB5GII6pEOzy687jhO,Beautiful People (feat. Khalid) - NOTD Remix,Ed Sheeran,Beautiful People (feat. Khalid) [NOTD Remix],162081,68,0.00715,0.702,0.794,4.56e-05,3,0.11,-5.913,1,0.0562,103.972,4,0.37,4,workout
4oiwHTTaiLERMEEhHwqnq2,Migrations,Taylor Deupree,Lowlands,196413,38,0.955,0.254,0.0911,0.931,2,0.0919,-22.896,1,0.042,70.216,3,0.0398,2,focus
3qL2jwvsVpY4hmek3t5ahn,Weekend,Smith Westerns,Dye It Blonde,202026,2,0.00106,0.396,0.864,0.0215,9,0.0726,-3.589,1,0.0309,153.883,4,0.817,1,workout
67b6LvfxFlCLWwxv2nYtDa,Lyon,Elliot Ziegler,Sleepless,112706,61,0.994,0.518,0.0787,0.958,2,0.1,-21.236,0,0.0557,122.34,4,0.0744,4,focus
5zrZHMklhOXABpnBl0EMBN,Novacane,Frank Ocean,Novacane,302346,6,0.0542,0.763,0.516,0.000689,3,0.162,-9.267,1,0.115,93.5,4,0.363,1,sleep
0sDqo9UPzPUtu9wEkI3zRB,The Weight - Remastered,The Band,Music From Big Pink (Expanded Edition),278626,20,0.225,0.63,0.519,4.3e-06,9,0.0974,-10.997,1,0.0528,143.942,4,0.502,1,party
5fSDXbY8o9pA3TKwAbfwML,Mi primer millon,Bacilos,Caraluna,237386,70,0.201,0.745,0.924,5.01e-05,5,0.121,-3.898,1,0.0355,103.033,4,0.909,4,party
